name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
ComposablePreviewScanner,https://github.com/sergio-sastre/ComposablePreviewScanner,218,1,Kotlin,sergio-sastre,"A library to help auto-generate screenshot tests from Composable Previews with any screenshot testing library: JVM-based (i.e. Paparazzi, Roborazzi) as well as Instrumentation-based (i.e. Shot, Dropshots, Android-Testify, etc.)",2025-03-14T16:01:49Z,2024-06-09T18:12:17Z,7
KotlinBootstrap,https://github.com/stevdza-san/KotlinBootstrap,217,15,Kotlin,stevdza-san,"Use the official Bootstrap UI components with Kotlin and Compose HTML, to build a frontend on the web. ",2024-11-18T12:05:26Z,2023-08-23T06:20:40Z,6
libres,https://github.com/Skeptick/libres,217,12,Kotlin,Skeptick,Resources generation in Kotlin Multiplatform,2024-12-24T02:40:22Z,2023-02-02T18:21:02Z,31
MiLinkNFC,https://github.com/XFY9326/MiLinkNFC,216,12,Kotlin,XFY9326,Xiaomi HyperOS NFC tools,2025-01-19T14:38:46Z,2023-11-28T09:16:57Z,0
spring-view-component,https://github.com/tschuehly/spring-view-component,216,13,Kotlin,tschuehly,Server-side UI components with spring boot,2024-09-27T16:59:04Z,2023-02-20T21:50:38Z,4
KMPMovies,https://github.com/Kashif-E/KMPMovies,216,23,Kotlin,Kashif-E,"A Compose multiplatform app, with a focus on architecture and platform specific views/features",2024-09-27T07:45:31Z,2023-02-24T08:00:02Z,0
Spotify-KMP,https://github.com/AshuTyagi16/Spotify-KMP,216,24,Kotlin,AshuTyagi16,A Kotlin Multiplatform sample that mirrors the architecture of a production-level app! 🚀,2024-01-18T07:25:14Z,2023-12-30T16:33:43Z,1
Android-AGSL-Shader-Playground,https://github.com/mejdi14/Android-AGSL-Shader-Playground,216,9,Kotlin,mejdi14,Android AGSL Shader effect library,2025-03-18T19:25:49Z,2025-02-17T22:06:43Z,0
ComposeTv,https://github.com/UmairKhalid786/ComposeTv,216,33,Kotlin,UmairKhalid786,Android TV built using Jetpack Compose TV APIs,2025-02-13T17:11:07Z,2023-01-08T19:58:50Z,4
intellij-developer-tools-plugin,https://github.com/marcelkliemannel/intellij-developer-tools-plugin,216,26,Kotlin,marcelkliemannel,"This plugin is a powerful and versatile set of tools designed to enhance the development experience for software engineers. With its extensive collection of features, developers can increase their productivity and simplify complex operations without leaving their coding environment.",2025-03-20T15:59:57Z,2023-02-22T19:38:54Z,27
ClimateTraceKMP,https://github.com/joreilly/ClimateTraceKMP,214,14,Kotlin,joreilly,Kotlin/Compose Multiplatform project to show climate related emission data from https://climatetrace.org/data.,2025-02-25T13:38:26Z,2023-12-07T18:13:39Z,1
FrpAndroid,https://github.com/jing332/FrpAndroid,211,29,Kotlin,jing332,"FrpAndroid , 安装即用",2023-08-25T02:27:31Z,2023-08-17T01:32:17Z,7
ShapesDemo,https://github.com/chethaase/ShapesDemo,211,21,Kotlin,chethaase,Demo apps showing how to use the AndroidX :graphics:graphics-shapes: library,2023-12-20T20:52:22Z,2023-04-11T21:05:54Z,1
choco-builder,https://github.com/unit-mesh/choco-builder,211,20,Kotlin,unit-mesh,ChocoBuilder (Chocolate Factory) is a cutting-edge LLM toolkit designed to empower you in creating your very own AI assistant.Chocolate Factory 是一款开源的 LLM 应用开发框架，旨在帮助您轻松打造强大的软件开发 SDLC + LLM 生成助手。无论您是需要生成前端页面、后端 API、SQL 图表，还是测试用例数据，Chocolate Factory 都能满足您的需求。,2024-07-24T01:45:29Z,2023-08-29T05:52:57Z,0
arbigent,https://github.com/takahirom/arbigent,211,8,Kotlin,takahirom,"AI Agent for testing Android, iOS, and Web apps. Get Started in 5 Minutes. Arbigent's intuitive UI and powerful code interface make it accessible to everyone, while its scenario breakdown feature ensures scalability for even the most complex tasks.",2025-03-20T23:55:13Z,2024-12-31T08:38:58Z,4
GeminiKMP,https://github.com/joreilly/GeminiKMP,210,29,Kotlin,joreilly,"Kotlin Multiplatform sample that uses Gemini Generative AI APIs.  Runs on Android, iOS, Desktop and Wasm based Compose for Web.",2025-03-01T20:09:10Z,2023-12-31T00:19:20Z,1
git-coach,https://github.com/vishal2376/git-coach,210,11,Kotlin,vishal2376,Git Coach is a Ads free education app designed to help users learn Git and explore its commands.,2025-03-20T23:22:03Z,2023-02-06T17:21:56Z,0
sain,https://github.com/joelkanyi/sain,209,7,Kotlin,joelkanyi,"[サイン] A Compose Multiplatform library for capturing and exporting signatures as ImageBitmap with customizable options. Perfect for electronic signature, legal documents and more.",2025-03-20T22:46:31Z,2023-01-29T08:27:15Z,3
FetchIt,https://github.com/tharunbirla/FetchIt,209,8,Kotlin,tharunbirla,"FetchIt is an Android application that makes downloading videos from a wide variety of platforms easy and efficient. Whether saving videos from popular social media, streaming sites, or video platforms.",2024-11-01T18:04:53Z,2024-09-17T08:52:11Z,12
ComposeShadowsPlus,https://github.com/GIGAMOLE/ComposeShadowsPlus,209,7,Kotlin,GIGAMOLE, ComposeShadowsPlus: Elevate your Android Compose UI with stunning custom shadows,2024-02-19T13:37:48Z,2023-06-13T08:46:47Z,2
pods4k,https://github.com/daniel-rusu/pods4k,208,4,Kotlin,daniel-rusu,Performance-oriented Data Structures for Kotlin,2025-03-21T20:43:59Z,2024-03-20T03:27:11Z,1
EasyLauncher,https://github.com/DroidWorksStudio/EasyLauncher,207,9,Kotlin,DroidWorksStudio,EasyLauncher - Minimal and Clutter Free Android launcher,2025-03-21T01:11:53Z,2024-05-06T14:08:53Z,9
constraintlayout-compose-multiplatform,https://github.com/Lavmee/constraintlayout-compose-multiplatform,207,5,Kotlin,Lavmee,Useful when implementing larger layouts with more complicated alignment requirements.,2025-03-20T23:18:41Z,2023-10-30T03:33:13Z,2
stove,https://github.com/Trendyol/stove,206,14,Kotlin,Trendyol,Stove: The easiest way of writing e2e/component tests for your JVM back-end API with Kotlin,2025-03-21T11:48:40Z,2023-01-18T13:03:34Z,7
squiggly-slider,https://github.com/saket/squiggly-slider,204,7,Kotlin,saket,"Squiggly slider, inspired by Android 13's media player notification.",2024-11-27T07:49:38Z,2023-12-23T04:45:54Z,0
Calculator-You,https://github.com/forzzzzz/Calculator-You,204,3,Kotlin,forzzzzz,Calculator You is a beautiful calculator for solving simple tasks,2025-03-17T17:17:54Z,2024-04-07T20:22:09Z,14
