name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
FilelessAgentMemShell,https://github.com/whocansee/FilelessAgentMemShell,223,15,Java,whocansee,无需文件落地Agent内存马生成器,2024-05-30T14:36:08Z,2023-10-31T09:20:56Z,0
haidnorJVM,https://github.com/FranzHaidnor/haidnorJVM,223,26,Java,FranzHaidnor,使用 Java 实现的 Java 虚拟机 （JVM implemented using java）,2024-07-05T02:09:11Z,2023-07-19T10:07:27Z,1
chatgpt-springboot-service,https://github.com/zccbbg/chatgpt-springboot-service,223,84,Java,zccbbg,是一个基于Springboot的一个后端服务，用于实时接收chatGPT的消息，并通过websocket的方式实时反馈前端。本项目还可以助你将GPT机器人集成到钉钉群聊中，通过@机器人进行聊天交互。,2023-07-20T11:48:30Z,2023-02-16T15:09:26Z,1
datalinkx,https://github.com/SplitfireUptown/datalinkx,223,17,Java,SplitfireUptown,🔥🔥DatalinkX异构数据源之间的数据同步系统，支持海量数据的增量或全量同步，同时支持HTTP、Oracle、MySQL、ES等数据源之间的数据流转，支持中间transform算子如SQL算子、大模型算子，底层依赖Flink、Seatunnel引擎，提供流转任务管理、任务级联配置、任务日志采集等功能🔥🔥,2025-03-20T05:03:38Z,2023-11-16T02:22:52Z,0
MicroserviceTutorials,https://github.com/navinreddy20/MicroserviceTutorials,223,188,Java,navinreddy20,,2023-07-27T10:39:32Z,2023-07-27T10:38:14Z,2
ChatViewTools,https://github.com/Ppsoft1991/ChatViewTools,223,35,Java,Ppsoft1991,红队的微信聊天记录取证工具,2024-06-28T16:44:37Z,2024-06-28T15:49:08Z,7
0x7eTeamTools,https://github.com/0x7eTeam/0x7eTeamTools,222,14,Java,0x7eTeam,"javafx练习,JS接口提取,漏洞检测",2024-01-24T12:16:35Z,2023-12-28T15:21:02Z,8
sz-boot-parent,https://github.com/feiyuchuixue/sz-boot-parent,222,53,Java,feiyuchuixue,Sz-Admin：一个开源RBAC中后台框架，专为现代应用设计。它结合了最新的技术栈，包括后端的Spring Boot 3、JDK 21、Mybatis Flex、Sa-Token、Knife4j和Flyway，以及前端的Vue 3、Vite5、TypeScript和Element Plus，致力于为您提供一个直观、流畅且功能强大的开发体验。,2025-03-17T04:25:41Z,2024-04-07T12:46:51Z,1
Allay,https://github.com/AllayMC/Allay,220,17,Java,AllayMC,"The next-generation Minecraft: Bedrock Edition server software aims to be reliable, fast and feature-rich 🌟",2025-03-21T13:05:52Z,2023-03-04T08:05:16Z,33
simple-framework,https://github.com/Enndfp/simple-framework,220,40,Java,Enndfp,SimpleFramework 是一个简易版的 Spring 框架，专注于实现 Spring 的三大核心功能：IOC（控制反转）、AOP（面向切面编程）和 MVC（模型-视图-控制器）。该项目旨在通过重新构建这些关键功能，为开发者提供深入理解 Spring 框架架构和设计理念的机会，同时也是一种提升 Java 开发技术能力的实践。,2024-01-19T07:02:51Z,2024-01-06T05:05:08Z,0
llama2.java,https://github.com/mukel/llama2.java,220,28,Java,mukel,Inference Llama 2 in one file of pure Java,2024-05-17T00:07:44Z,2023-08-02T10:54:38Z,2
jgit,https://github.com/eclipse-jgit/jgit,220,65,Java,eclipse-jgit,"JGit, the Java implementation of git",2025-03-21T18:07:08Z,2023-10-20T15:09:17Z,61
MuYun,https://github.com/ximatai/MuYun,219,29,Java,ximatai,一个云原生、开发者优先、前后端分离、按需插拔的轻代码平台。,2025-03-16T10:36:07Z,2024-07-18T07:56:46Z,8
Apache-Dubbo-CVE-2023-23638-exp,https://github.com/YYHYlh/Apache-Dubbo-CVE-2023-23638-exp,219,30,Java,YYHYlh,Apache Dubbo (CVE-2023-23638)漏洞利用的工程化实践,2023-08-08T02:30:25Z,2023-05-11T07:37:52Z,1
lacus,https://github.com/eyesmoons/lacus,219,49,Java,eyesmoons,大数据平台后端项目,2025-03-16T13:52:40Z,2023-05-04T13:30:59Z,1
1JPM,https://github.com/Osiris-Team/1JPM,219,4,Java,Osiris-Team,"Maven/Gradle alternative with a twist: its a single Java file, which should be edited by you to configure your project.",2024-10-17T18:13:08Z,2024-07-07T22:03:27Z,2
NekoClient,https://github.com/clrxbl/NekoClient,218,26,Java,clrxbl,"Deobfuscated June 2023 CurseForge malware (""fractureiser"") stage 3 payload",2023-06-07T16:52:56Z,2023-06-07T14:34:59Z,0
JSource-Obfuscator,https://github.com/luelueking/JSource-Obfuscator,218,39,Java,luelueking,Java Source Code Obfuscator（java源代码混淆器）,2024-04-23T07:23:30Z,2023-09-11T12:30:59Z,2
LazyAnFuZai,https://github.com/R4gd0ll/LazyAnFuZai,218,33,Java,R4gd0ll,安服吗喽化工具,2024-03-05T04:00:23Z,2024-03-05T03:50:12Z,6
ai4j,https://github.com/LnYo-Cly/ai4j,218,23,Java,LnYo-Cly,一款JavaSDK用于快速接入AI大模型应用，整合多平台大模型，如OpenAi、智谱Zhipu(ChatGLM)、深度求索DeepSeek、月之暗面Moonshot(Kimi)、腾讯混元Hunyuan、零一万物(01)等等，提供统一的输入输出(对齐OpenAi)消除差异化，优化函数调用(Tool Call)，优化RAG调用、支持向量数据库(Pinecone)、内置联网增强，并且支持JDK1.8，为用户提供快速整合AI的能力。,2025-03-17T10:15:00Z,2024-08-17T08:59:56Z,22
fofaEX,https://github.com/10cks/fofaEX,217,12,Java,10cks,FOFA EX 是一款基于fofa api（也可导入鹰图、夸克文件）实现的红队综合利用工具，可基于模板把工具作为插件进行集成，自动化进行资产探测，目前提供的插件功能如下：探活、 nuclei 模板扫描、IP反查域名、域名反查 ICP 备案、dismap 指纹扫描,2024-07-24T11:18:52Z,2023-12-07T13:46:27Z,3
