name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
VoAPI,https://github.com/VoAPI/VoAPI,578,52,Go,VoAPI,全新的高颜值/高性能的AI模型接口管理与分发系统，仅供个人学习使用，请勿用于任何商业用途，本项目基于NewAPI开发。A brand new high aesthetic/high-performance AI model interface management and distribution system is only for personal or internal management and distribution channels of enterprises. Please do not use it for commercial purposes. ,2025-03-12T11:39:04Z,2024-09-25T11:12:57Z,18
clace,https://github.com/claceio/clace,576,11,Go,claceio,App deployment simplified. GitOps without the hassles. Hypermedia based internal tools for teams. AppServer for containerized apps.,2025-03-18T19:13:27Z,2023-04-13T18:29:51Z,1
urlfinder,https://github.com/projectdiscovery/urlfinder,575,43,Go,projectdiscovery,"A high-speed tool for passively gathering URLs, optimized for efficient and comprehensive web asset discovery without active scanning.",2025-03-17T03:19:12Z,2024-04-30T13:41:12Z,4
kmesh,https://github.com/kmesh-net/kmesh,575,93,Go,kmesh-net,High Performance ServiceMesh Data Plane Based on eBPF and Programmable Kernel,2025-03-19T15:37:47Z,2023-07-12T05:00:17Z,128
tokenmonster,https://github.com/alasdairforsythe/tokenmonster,574,19,Go,alasdairforsythe,"Ungreedy subword tokenizer and vocabulary trainer for Python, Go & Javascript",2024-07-02T16:01:15Z,2023-05-12T04:58:39Z,10
lc,https://github.com/wgpsec/lc,572,51,Go,wgpsec,LC（List Cloud）是一个多云攻击面资产梳理工具,2024-10-06T14:29:25Z,2024-04-06T13:04:37Z,0
godel-scheduler,https://github.com/kubewharf/godel-scheduler,572,78,Go,kubewharf,a unified scheduler for online and offline tasks,2025-01-07T02:16:23Z,2023-11-07T08:28:00Z,12
ngtop,https://github.com/facundoolano/ngtop,572,7,Go,facundoolano,nginx access logs analytics,2024-09-14T19:22:31Z,2024-07-19T13:26:42Z,6
qscan,https://github.com/qi4L/qscan,570,44,Go,qi4L,轻量化全方位扫描器,2024-10-17T03:03:18Z,2024-03-21T09:43:28Z,0
Jie,https://github.com/yhy0/Jie,570,117,Go,yhy0,"Jie stands out as a comprehensive security assessment and exploitation tool meticulously crafted for web applications. Its robust suite of features encompasses vulnerability scanning, information gathering, and exploitation, elevating it to an indispensable toolkit for both security professionals and penetration testers. 挖洞辅助工具(漏洞扫描、信息收集)",2024-07-05T16:01:36Z,2023-01-30T02:10:39Z,6
olake,https://github.com/datazip-inc/olake,569,56,Go,datazip-inc,"Fastest open-source tool for replicating Databases to Apache Iceberg or Data Lakehouse. ⚡ Efficient, quick and scalable data ingestion for real-time analytics.  Supporting Postgres, MongoDB and MySQL ",2025-03-21T13:08:54Z,2024-10-15T07:39:34Z,56
EasierConnect,https://github.com/lyc8503/EasierConnect,567,131,Go,lyc8503,NJU EasyConnect 第三方开源 Golang 客户端 / NJU EasyConnect protocol reimplementation in Go,2024-06-24T16:04:30Z,2023-01-17T05:46:10Z,11
ollama-copilot,https://github.com/bernardo-bruning/ollama-copilot,567,50,Go,bernardo-bruning,Proxy that allows you to use ollama as a copilot like Github copilot,2025-02-13T15:42:31Z,2024-04-25T01:29:04Z,11
kardinal,https://github.com/kurtosis-tech/kardinal,566,18,Go,kurtosis-tech,"Kardinal is the lightest-weight way to spin up dev and test environments in Kubernetes. Deploy the absolute minimum resources necessary and implement dev, test, and QA all in one cluster.",2024-12-12T00:02:12Z,2024-06-27T02:29:50Z,15
WatchAlert,https://github.com/opsre/WatchAlert,562,95,Go,opsre,"🚀一款轻量级云原生多数据源监控告警引擎, 支持 AI 智能告警分析, 快来用它升级你们的监控系统架构吧！帮忙点个免费的Star 😊~",2025-03-21T07:22:13Z,2023-11-09T06:37:17Z,14
bepusdt,https://github.com/v03413/bepusdt,559,139,Go,v03413,一款更好用的个人USDT收款网关，兼容所有 Epusdt 插件，可无缝切换，支持交易所动态汇率、支持Docker一键部署；支持独角发卡 易支付 异次元&萌次元发卡,2025-03-21T02:47:26Z,2023-10-09T01:35:53Z,14
swiftwave,https://github.com/swiftwave-org/swiftwave,557,42,Go,swiftwave-org,"Self-hosted lightweight PaaS solution to deploy and manage your applications on any VPS [Your own self-hosted Heroku, Vercel]",2025-03-20T08:05:07Z,2023-08-06T13:09:53Z,18
k0smotron,https://github.com/k0smotron/k0smotron,555,50,Go,k0smotron,k0smotron,2025-03-21T08:00:11Z,2023-03-20T09:44:54Z,8
kaito,https://github.com/kaito-project/kaito,555,73,Go,kaito-project,Kubernetes AI Toolchain Operator,2025-03-21T18:09:46Z,2023-09-09T01:53:38Z,35
tyson,https://github.com/jetify-com/tyson,551,4,Go,jetify-com,🥊  TypeScript as a Configuration Language. TySON stands for TypeScript Object Notation,2025-03-07T23:01:36Z,2023-06-23T15:25:58Z,5
rHttp,https://github.com/1buran/rHttp,549,4,Go,1buran,REPL for HTTP,2024-07-20T19:41:42Z,2024-03-08T18:26:32Z,1
chapar,https://github.com/chapar-rest/chapar,548,32,Go,chapar-rest,Chapar is a simple and easy to use api testing tools aims to help developers to test their api endpoints. it support http and grpc protocols.,2025-03-20T03:21:23Z,2024-01-12T22:52:45Z,5
clash2sfa,https://github.com/xmdhs/clash2sfa,542,115,Go,xmdhs,将 Clash.Meta 格式的订阅链接转换为 sing-box 格式的订阅，用于 SFA,2025-03-07T08:16:30Z,2023-04-08T12:32:17Z,7
mailroom,https://github.com/seatgeek/mailroom,541,20,Go,seatgeek,"Framework for creating, routing, and delivering user notifications based on events from external systems",2025-03-20T19:16:09Z,2024-11-25T14:30:21Z,1
chat,https://github.com/swuecho/chat,538,90,Go,swuecho,"chat web app for teams, sass with user management and ratelimit, support chatgpt(openai & azure), claude, gemini and ollama model",2025-03-16T10:32:40Z,2023-03-18T11:32:14Z,18
cursor-deepseek,https://github.com/danilofalcao/cursor-deepseek,536,41,Go,danilofalcao,"A high-performance HTTP/2-enabled proxy server designed specifically to enable Cursor IDE's Composer to use DeepSeek's and OpenRouter's language models. This proxy translates OpenAI-compatible API requests to DeepSeek/OpenRouter API format, allowing Cursor's Composer and other OpenAI API-compatible tools to seamlessly work with these models.",2025-02-24T10:15:59Z,2025-01-21T21:56:17Z,5
selefra,https://github.com/selefra/selefra,534,40,Go,selefra,"The open-source policy-as-code software that provides analysis for Multi-Cloud and SaaS environments, you can get insight with natural language (powered by OpenAI).",2023-08-30T04:35:10Z,2023-03-21T16:28:50Z,0
PPLBlade,https://github.com/tastypepperoni/PPLBlade,533,59,Go,tastypepperoni,Protected Process Dumper Tool,2023-08-30T07:59:51Z,2023-08-29T19:36:04Z,5
anto,https://github.com/speauty/anto,532,34,Go,speauty,字幕文件(srt)翻译工具，Windows专用,2024-08-06T07:34:36Z,2023-03-01T08:27:49Z,9
GoRedOps,https://github.com/EvilBytecode/GoRedOps,532,80,Go,EvilBytecode,"🦫  | GoRedOps is a repository dedicated to gathering and sharing advanced techniques and offensive malware for Red Team, with a specific focus on the Go programming language, all is made for educational purpoeses only.",2025-02-07T17:46:37Z,2024-06-10T05:46:49Z,0
openai-proxy,https://github.com/geekr-dev/openai-proxy,531,130,Go,geekr-dev,基于 Go 实现的 OpenAI HTTP 代理（云函数、lambda 函数、自己部署均可）,2023-12-12T15:34:46Z,2023-03-06T09:09:19Z,9
donetick,https://github.com/donetick/donetick,528,19,Go,donetick,"Donetick an open-source, user-friendly app for managing tasks and chores, featuring customizable options to help you and others stay organized",2025-03-17T05:18:57Z,2024-06-30T23:49:46Z,23
cloudlens,https://github.com/one2nc/cloudlens,526,35,Go,one2nc,k9s like CLI for AWS and GCP,2024-04-20T05:24:58Z,2023-01-11T05:52:15Z,15
SaveAny-Bot,https://github.com/krau/SaveAny-Bot,526,35,Go,krau,"保存 Telegram 文件到各类存储空间 📂 (Alist、本地磁盘、Webdav, Minio...)  , 支持破解禁止保存的频道",2025-03-21T15:28:21Z,2024-10-10T15:31:04Z,4
nuke,https://github.com/ortuman/nuke,524,13,Go,ortuman,⚡ A memory arena implementation for Go.,2024-03-16T17:50:01Z,2024-02-23T14:02:28Z,3
pug,https://github.com/leg100/pug,520,9,Go,leg100,Drive terraform at terminal velocity.,2025-01-26T11:15:26Z,2024-01-06T09:31:19Z,15
jsleak,https://github.com/byt3hx/jsleak,520,50,Go,byt3hx,"jsleak is a tool to find secret , paths or links in the source code during the recon.",2025-01-25T08:23:07Z,2023-03-29T12:09:19Z,5
compose2nix,https://github.com/aksiksi/compose2nix,515,8,Go,aksiksi,Generate a NixOS config from a Docker Compose project.,2025-03-16T05:48:11Z,2023-11-01T01:22:49Z,7
galah,https://github.com/0x4D31/galah,514,46,Go,0x4D31,Galah: An LLM-powered web honeypot.,2024-10-20T01:43:32Z,2023-12-31T22:51:12Z,6
actas-2024,https://github.com/andreujuanc/actas-2024,513,137,Go,andreujuanc,,2024-08-05T02:58:05Z,2024-07-30T18:01:16Z,13
hn-text,https://github.com/piqoni/hn-text,512,10,Go,piqoni,A text-first HN client. ,2024-06-11T20:41:00Z,2024-06-02T16:57:44Z,4
opentelemetry-go-auto-instrumentation,https://github.com/alibaba/opentelemetry-go-auto-instrumentation,510,58,Go,alibaba,OpenTelemetry Compile-Time Instrumentation for Golang,2025-03-21T08:47:39Z,2024-02-02T09:29:44Z,32
palworld-go,https://github.com/Hoshinonyaruko/palworld-go,509,50,Go,Hoshinonyaruko,Pal World all-in-one webui for pc and mobile devices.,2024-04-09T12:32:41Z,2024-01-22T17:02:25Z,20
orbis-go,https://github.com/sourcenetwork/orbis-go,504,7,Go,sourcenetwork,Decentralized Secrets Management Engine powered by threshold cryptography and proxy re-encryption,2024-09-06T00:00:09Z,2023-02-28T23:49:43Z,4
