name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
vue-XiuXianGame,https://github.com/setube/vue-XiuXianGame,1178,164,JavaScript,setube,文字游戏: 我的文字修仙全靠刷,2025-01-24T08:08:34Z,2024-07-14T08:19:36Z,6
puppeteer-real-browser,https://github.com/ZFC-Digital/puppeteer-real-browser,1172,139,JavaScript,ZFC-Digital,This package is designed to bypass puppeteer's bot-detecting captchas such as Cloudflare. It acts like a real browser and can be managed with puppeteer. ,2025-02-21T11:28:51Z,2023-12-22T21:45:40Z,8
pgmock,https://github.com/stack-auth/pgmock,1161,22,JavaScript,stack-auth,In-memory Postgres for unit/E2E tests,2024-08-25T19:42:28Z,2024-03-29T20:20:46Z,15
arcfox,https://github.com/betterbrowser/arcfox,1159,36,JavaScript,betterbrowser,Make firefox flow like arc,2025-01-05T01:23:10Z,2023-02-24T18:24:22Z,12
three-cesium-examples,https://github.com/z2586300277/three-cesium-examples,1158,184,JavaScript,z2586300277,WebGL Three.js Cesium.js Examples And Demo - WebGL 的 Three.js 和 Cesium.js 案例 --- Star ---点星星,2025-03-21T01:46:19Z,2024-07-02T06:23:25Z,2
project_ai_mern_image_generation,https://github.com/adrianhajdin/project_ai_mern_image_generation,1149,323,JavaScript,adrianhajdin,Build and Deploy a Full Stack MERN AI Image Generation App MidJourney & DALL E Clone,2023-10-15T13:16:32Z,2023-01-20T10:45:47Z,56
macOSpilot-ai-assistant,https://github.com/elfvingralf/macOSpilot-ai-assistant,1147,48,JavaScript,elfvingralf,"Voice + Vision powered AI assistant that answers questions about any application, in context and in audio.",2023-12-21T19:48:09Z,2023-12-05T04:41:11Z,2
model-explorer,https://github.com/google-ai-edge/model-explorer,1147,97,JavaScript,google-ai-edge,A modern model graph visualizer and debugger,2025-03-21T19:45:23Z,2024-01-05T00:37:37Z,27
maotai,https://github.com/yize8888/maotai,1141,284,JavaScript,yize8888,i茅台，葫芦娃预约脚本,2025-03-08T08:11:06Z,2023-06-20T01:44:48Z,43
ChatGPT-Feishu,https://github.com/bestony/ChatGPT-Feishu,1138,281,JavaScript,bestony,给飞书准备的 ChatGPT 机器人,2025-01-13T02:15:22Z,2023-02-09T17:05:21Z,42
js-pytorch,https://github.com/eduardoleao052/js-pytorch,1137,48,JavaScript,eduardoleao052,"A JavaScript library like PyTorch, with GPU acceleration.",2024-11-15T18:32:17Z,2024-02-27T19:33:50Z,4
NextScan,https://github.com/tongcheng-security-team/NextScan,1135,106,JavaScript,tongcheng-security-team,飞刃是一套完整的企业级黑盒漏洞扫描系统，集成漏洞扫描、漏洞管理、扫描资产、爬虫等服务。 拥有强大的漏洞检测引擎和丰富的插件库，覆盖多种漏洞类型和应用程序框架。,2023-06-30T12:26:13Z,2023-03-17T05:47:33Z,20
hugoplate,https://github.com/zeon-studio/hugoplate,1118,300,JavaScript,zeon-studio,Hugoplate is a free starter template built with Hugo and Tailwind CSS v4.0 that will save you hours of work.,2025-03-17T03:53:30Z,2023-05-25T10:41:33Z,12
ComfyUI_Custom_Nodes_AlekPet,https://github.com/AlekPet/ComfyUI_Custom_Nodes_AlekPet,1109,70,JavaScript,AlekPet,Custom nodes that extend the capabilities of Comfyui,2025-03-06T11:47:57Z,2023-05-10T08:24:39Z,37
whatsapp-api,https://github.com/chrishubert/whatsapp-api,1103,471,JavaScript,chrishubert,"This project is a REST API wrapper for the whatsapp-web.js library, providing an easy-to-use interface to interact with the WhatsApp Web platform.",2024-12-31T06:01:22Z,2023-04-12T05:33:41Z,77
BWM-XMD,https://github.com/devibraah/BWM-XMD,1100,2900,JavaScript,devibraah,"BWM XMD WhatsApp Bot: A powerful, multi-functional bot by Ibrahim Adams, crafted to deliver seamless ride booking, real-time tracking, and personalized interactions on WhatsApp. Engineered for efficiency, scalability, and multilingual support, BWM XMD brings advanced convenience and intelligence to your messaging experience.",2024-12-06T18:57:12Z,2024-07-19T11:05:10Z,9
thread,https://github.com/alishobeiri/thread,1091,56,JavaScript,alishobeiri,"AI-powered Jupyter Notebook — use local AI to generate and edit code cells, automatically fix errors, and chat with your data",2025-01-05T20:51:34Z,2024-05-21T20:18:22Z,8
NewJob,https://github.com/IcarusRyy/NewJob,1059,54,JavaScript,IcarusRyy,一眼看出该职位最后修改时间，绿色为2周之内，暗橙色为1.5个月之内，红色为1.5个月以上,2024-06-10T11:28:24Z,2024-05-03T08:09:15Z,4
KaibanJS,https://github.com/kaiban-ai/KaibanJS,1056,97,JavaScript,kaiban-ai,KaibanJS is a JavaScript-native framework for building and managing multi-agent systems  with a Kanban-inspired approach.,2025-03-17T20:07:07Z,2024-07-10T05:25:01Z,59
