name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
pezzo,https://github.com/pezzolabs/pezzo,2743,239,TypeScript,pezzolabs,"🕹️ Open-source, developer-first LLMOps platform designed to streamline prompt design, version management, instant delivery, collaboration, troubleshooting, observability and more.",2025-03-09T23:05:19Z,2023-04-22T20:54:10Z,37
Figma-Context-MCP,https://github.com/GLips/Figma-Context-MCP,2742,208,TypeScript,GLips,MCP server to provide Figma layout information to AI coding agents like Cursor,2025-03-21T20:29:46Z,2025-02-13T02:55:06Z,9
database-build,https://github.com/supabase-community/database-build,2740,230,TypeScript,supabase-community,In-browser Postgres sandbox with AI assistance (formerly postgres.new),2025-02-10T20:46:25Z,2024-07-22T18:27:25Z,35
gql.tada,https://github.com/0no-co/gql.tada,2728,51,TypeScript,0no-co,🪄 Magical GraphQL query engine for TypeScript ,2025-02-03T14:44:23Z,2023-07-06T00:41:33Z,12
kirimase,https://github.com/nicoalbanese/kirimase,2725,125,TypeScript,nicoalbanese,"Build full-stack Next.js apps, incredibly fast",2024-09-18T08:46:52Z,2023-08-04T13:18:55Z,72
aspoem,https://github.com/meetqy/aspoem,2716,268,TypeScript,meetqy,Learn Chinese Poetry With AsPoem.com,2024-10-31T08:01:57Z,2023-12-19T03:35:11Z,53
tailwind-variants,https://github.com/heroui-inc/tailwind-variants,2659,75,TypeScript,heroui-inc,🦄 Tailwindcss first-class variant API,2025-03-08T16:19:53Z,2023-01-12T21:42:24Z,32
paul-graham-gpt,https://github.com/mckaywrigley/paul-graham-gpt,2659,382,TypeScript,mckaywrigley,RAG on Paul Graham's essays.,2023-07-28T17:50:55Z,2023-03-01T22:58:50Z,5
FreedomGPT,https://github.com/ohmplatform/FreedomGPT,2636,357,TypeScript,ohmplatform,This codebase is for a React and Electron-based app that executes the FreedomGPT LLM locally (offline and private) on Mac and Windows using a chat-based interface,2024-06-13T18:52:39Z,2023-03-21T15:46:11Z,77
next-safe-action,https://github.com/TheEdoRan/next-safe-action,2622,40,TypeScript,TheEdoRan,Type safe and validated Server Actions in your Next.js project.,2025-03-21T00:19:38Z,2023-04-16T02:12:14Z,4
triplit,https://github.com/aspen-cloud/triplit,2616,78,TypeScript,aspen-cloud,"A full-stack, syncing database that runs on both server and client. Pluggable storage (indexeddb, sqlite, durable objects), syncs over websockets, and works with your favorite framework (React, Solid, Vue, Svelte).",2025-03-21T19:49:06Z,2023-07-20T21:34:02Z,13
authkit,https://github.com/workos/authkit,2612,112,TypeScript,workos,The world's best login box powered by WorkOS and Radix.,2025-03-18T13:35:19Z,2023-10-31T13:51:15Z,9
keybr.com,https://github.com/aradzie/keybr.com,2602,243,TypeScript,aradzie,The smartest way to learn touch typing and improve your typing speed.,2025-03-21T13:44:59Z,2023-09-25T06:58:26Z,191
secret-llama,https://github.com/abi/secret-llama,2601,164,TypeScript,abi,Fully private LLM chatbot that runs entirely with a browser with no server needed. Supports Mistral and LLama 3.,2024-06-05T02:04:17Z,2024-04-30T21:24:56Z,18
polyglot,https://github.com/liou666/polyglot,2581,273,TypeScript,liou666,🤖️  Cross-platform AI language practice app （跨平台AI语言练习应用）,2024-10-19T15:43:47Z,2023-03-15T16:41:39Z,3
biomes-game,https://github.com/ill-inc/biomes-game,2572,307,TypeScript,ill-inc,"Biomes is an open source sandbox MMORPG built for the web using web technologies such as Next.js, Typescript, React and WebAssembly.",2023-11-10T03:57:49Z,2023-08-11T16:37:44Z,22
sd-webui-lobe-theme,https://github.com/lobehub/sd-webui-lobe-theme,2561,237,TypeScript,lobehub,"🅰️ Lobe theme - The modern theme for stable diffusion webui, exquisite interface design, highly customizable UI, and efficiency boosting features.",2025-03-17T20:32:10Z,2023-02-25T06:41:18Z,80
OpenPipe,https://github.com/OpenPipe/OpenPipe,2554,137,TypeScript,OpenPipe,Turn expensive prompts into cheap fine-tuned models,2024-05-25T00:18:13Z,2023-06-20T00:55:24Z,5
Badget,https://github.com/Codehagen/Badget,2544,277,TypeScript,Codehagen,Badget aims to simplify financial management with a user-friendly interface and robust backend,2024-11-28T07:40:21Z,2023-12-31T13:38:51Z,3
aide,https://github.com/nicepkg/aide,2541,176,TypeScript,nicepkg,"Conquer Any Code in VSCode: One-Click Comments, Conversions, UI-to-Code, and AI Batch Processing of Files! 在 VSCode 中征服任何代码：一键注释、转换、UI 图生成代码、AI 批量处理文件！💪",2025-03-08T03:13:34Z,2024-07-02T17:10:11Z,31
ChainForge,https://github.com/ianarawjo/ChainForge,2538,207,TypeScript,ianarawjo,An open-source visual programming environment for battle-testing prompts to LLMs.,2025-03-19T23:35:45Z,2023-03-26T16:55:33Z,49
PicList,https://github.com/Kuingsmile/PicList,2528,105,TypeScript,Kuingsmile,"An image upload and manage tool, base on PicGo",2025-03-05T05:19:17Z,2023-01-03T07:10:02Z,9
LLOneBot,https://github.com/LLOneBot/LLOneBot,2486,187,TypeScript,LLOneBot,一种插件，支持 OneBot 11 和 Satori 协议,2025-03-17T09:47:54Z,2023-10-25T09:32:25Z,14
eidos,https://github.com/mayneyao/eidos,2466,100,TypeScript,mayneyao,An extensible framework for Personal Data Management.,2025-03-15T09:23:38Z,2023-06-08T16:49:09Z,23
autoflow,https://github.com/pingcap/autoflow,2464,142,TypeScript,pingcap,pingcap/autoflow is a Graph RAG based and conversational knowledge base tool built with TiDB Serverless Vector Storage. Demo: https://tidb.ai,2025-03-18T06:22:51Z,2024-02-05T06:53:14Z,67
