name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
Neuwaita,https://github.com/RusticBard/Neuwaita,305,1,Shell,RusticBard,A different take on adwaita theme.,2025-03-12T11:39:22Z,2023-01-12T13:45:07Z,13
termux-chroot-proot-wine-box86_64,https://github.com/cheadrian/termux-chroot-proot-wine-box86_64,302,23,Shell,cheadrian,"Repo with instruction about how you can setup Proot / Chroot using Termux and GPU acceleration for Box86, Wine, etc.",2024-07-13T11:05:53Z,2023-05-06T17:47:15Z,13
wcurl,https://github.com/curl/wcurl,302,14,Shell,curl,a simple wrapper around curl to easily download files,2025-02-24T21:56:22Z,2024-07-01T18:52:09Z,3
davincibox,https://github.com/zelikos/davincibox,300,12,Shell,zelikos,Container for DaVinci Resolve installation and runtime dependencies on Linux,2025-02-25T00:21:34Z,2023-09-05T21:54:33Z,15
Oracle_OneKey_Active,https://github.com/Mrmineduce21/Oracle_OneKey_Active,300,131,Shell,Mrmineduce21,为了应对甲骨文最新回收机制而作的垃圾脚本,2023-03-15T11:53:34Z,2023-01-31T04:31:01Z,2
dotfiles,https://github.com/hendrikmi/dotfiles,297,50,Shell,hendrikmi,My personal dotfiles and configs,2025-02-27T17:01:30Z,2023-04-16T13:41:15Z,0
sealion,https://github.com/aisingapore/sealion,297,22,Shell,aisingapore,South-East Asia Large Language Models,2025-03-20T06:25:00Z,2023-10-31T04:46:43Z,0
ESXiArgs-Recover,https://github.com/cisagov/ESXiArgs-Recover,296,43,Shell,cisagov,A tool to recover from ESXiArgs ransomware,2023-02-10T04:35:59Z,2023-02-07T23:32:59Z,6
Pal-Server-Install,https://github.com/2lifetop/Pal-Server-Install,295,42,Shell,2lifetop,幻兽帕鲁服务端一键安装脚本,2024-06-28T11:14:12Z,2024-01-24T11:41:10Z,10
aio-proxy,https://github.com/hrostami/aio-proxy,295,58,Shell,hrostami,This script automates setting up proxy related tools in Linux.,2024-05-14T11:22:07Z,2023-08-28T14:15:28Z,1
phpctl,https://github.com/opencodeco/phpctl,292,19,Shell,opencodeco,🐳 It is a Docker (containers) based development environment for PHP 🐘,2024-09-18T16:48:45Z,2023-11-27T17:26:31Z,1
docker-mirror,https://github.com/gebangfeng/docker-mirror,290,20,Shell,gebangfeng,"整理各大docker,容器镜像仓库的国内镜像源",2024-07-10T08:26:27Z,2024-05-16T05:35:53Z,10
samba,https://github.com/dockur/samba,289,28,Shell,dockur,Samba SMB server in a Docker container.,2025-03-19T15:56:52Z,2024-02-08T22:59:15Z,2
build-openwrt,https://github.com/xinlingduyu/build-openwrt,289,2054,Shell,xinlingduyu,利用Actions在线云编译openwrt固件，适合官方源码，lede，lienol和immortalwrt源码，支持X86，电视盒子等众多设备！,2024-03-24T14:04:43Z,2023-04-06T04:41:28Z,6
GenerativeDiffusionPrior,https://github.com/Fayeben/GenerativeDiffusionPrior,289,29,Shell,Fayeben,Generative Diffusion Prior for Unified Image Restoration and Enhancement (CVPR2023),2023-07-18T02:52:29Z,2023-02-23T02:08:21Z,11
easy-xray,https://github.com/EvgenyNerush/easy-xray,288,36,Shell,EvgenyNerush,Script for Linux which makes XRay installation and configuration easy,2025-01-16T07:48:31Z,2023-10-08T19:32:54Z,6
OpenWrt_RockChip,https://github.com/DHDAXCW/OpenWrt_RockChip,287,83,Shell,DHDAXCW,基于 immortalwrt 源码建构 rockchip 的 OpenWrt 固件。,2025-02-05T06:14:48Z,2024-03-12T13:29:39Z,41
Dependency-Confusion,https://github.com/x1337loser/Dependency-Confusion,286,37,Shell,x1337loser,"All About Dependency Confusion Attack, (Detecting, Finding, Mitigating)",2024-03-12T09:53:08Z,2023-01-31T16:24:15Z,0
VPS-Optimizer,https://github.com/opiran-club/VPS-Optimizer,284,79,Shell,opiran-club,"Linux Optimizer One-click bash script , swap maker and bbr tcp congestion control , xanmod kernel and bbrv3",2024-11-05T23:17:13Z,2023-05-06T11:42:10Z,0
am-nodejs-proxy,https://github.com/ansoncloud8/am-nodejs-proxy,282,141,Shell,ansoncloud8,基于 Node.js 的 vless 实现包。它在各种 Node.js 环境中都能运行，包括但不限于：Windows、Linux、MacOS、Android、iOS、树莓派等。同时，它也适用于各种 PaaS 平台，如：replit、heroku 等。,2024-08-12T09:46:57Z,2024-07-06T06:37:05Z,0
heyCLI_client,https://github.com/HeyCLI/heyCLI_client,280,18,Shell,HeyCLI,HeyCLI allows you to use your command line terminal in natural language,2023-06-02T17:42:05Z,2023-01-30T18:12:59Z,3
llm-adaptive-attacks,https://github.com/tml-epfl/llm-adaptive-attacks,278,26,Shell,tml-epfl,Jailbreaking Leading Safety-Aligned LLMs with Simple Adaptive Attacks [ICLR 2025],2025-01-23T07:55:40Z,2024-04-01T08:46:08Z,1
Arch-Hyprland,https://github.com/hyper-dot/Arch-Hyprland,278,21,Shell,hyper-dot,Arch linux hyprland setup ,2023-10-17T15:24:15Z,2023-02-03T06:15:45Z,1
Luminol,https://github.com/LuminolMC/Luminol,278,27,Shell,LuminolMC,轻量级、优化且功能齐全的 Folia 分支，专为生存和无政府状态服务器而设计,2025-03-21T13:33:29Z,2023-11-26T10:17:07Z,1
LockKnife,https://github.com/ImKKingshuk/LockKnife,276,47,Shell,ImKKingshuk,"LockKnife : The Ultimate Android Password Tool - Your Key to Android Password Recovery! 🗝️ Unlock forgotten Android lock screen passwords with ease using this powerful command-line tool. Simply connect your device, and let LockKnife do the magic! 🔒💫",2025-02-28T12:53:27Z,2023-07-20T23:01:55Z,0
TerminatorZ,https://github.com/blackhatethicalhacking/TerminatorZ,274,38,Shell,blackhatethicalhacking,TerminatorZ is a highly sophisticated and efficient web security tool that scans for top potential vulnerabilities with known CVEs in your web applications.,2024-09-06T13:28:47Z,2023-01-31T21:33:14Z,16
ucore,https://github.com/ublue-os/ucore,273,44,Shell,ublue-os,An OCI base image of Fedora CoreOS with batteries included,2025-02-24T20:09:42Z,2023-03-15T17:43:32Z,18
n8n-hosting,https://github.com/n8n-io/n8n-hosting,272,173,Shell,n8n-io,"Example of self-hosting n8n in various environments like docker, kubernetes, etc.",2025-03-14T08:45:25Z,2024-04-02T16:39:57Z,3
Hyprland-v3,https://github.com/JaKooLit/Hyprland-v3,271,18,Shell,JaKooLit,Arch-Hyprland install script with collection of dots from my previous Hyprland dots,2024-06-02T20:19:53Z,2023-06-21T00:13:56Z,0
valheim-macos,https://github.com/timkurvers/valheim-macos,269,14,Shell,timkurvers,Build-your-own Valheim build for macOS,2024-07-22T15:10:01Z,2023-03-14T09:04:58Z,1
podkop,https://github.com/itdoginfo/podkop,269,23,Shell,itdoginfo,Dev podkop,2025-03-21T12:06:12Z,2024-10-10T13:40:31Z,4
rocm_sdk_builder,https://github.com/lamikr/rocm_sdk_builder,269,19,Shell,lamikr,,2025-03-20T08:20:47Z,2024-01-16T18:46:14Z,31
BMC-Firmware,https://github.com/turing-machines/BMC-Firmware,268,35,Shell,turing-machines,Turing-pi BMC firmware,2025-02-24T09:19:42Z,2023-03-30T12:28:15Z,46
TryHackMe,https://github.com/migueltc13/TryHackMe,267,137,Shell,migueltc13,"Master cybersecurity skills with this TryHackMe free path, includes a collection of my write-ups, solutions and progress tracking.",2024-11-05T22:37:07Z,2023-01-15T10:05:25Z,1
flipperzero-badUSB,https://github.com/grugnoymeme/flipperzero-badUSB,265,14,Shell,grugnoymeme,"A collection of selected badUSB script for Flipper Zero, written by me. This repo is always Work In Progress.",2023-09-15T18:49:46Z,2023-04-22T20:12:39Z,0
aircrack-ng-for-termux,https://github.com/pitube08642/aircrack-ng-for-termux,264,28,Shell,pitube08642,,2023-02-13T13:28:23Z,2023-02-12T10:18:14Z,8
Setup-Your-Mac,https://github.com/setup-your-mac/Setup-Your-Mac,264,59,Shell,setup-your-mac,Setup Your Mac aims to simplify initial device configuration by leveraging swiftDialog and Jamf Pro Policy Custom Events to allow end-users to self-complete Mac setup post-enrollment.,2025-03-10T13:58:06Z,2023-03-05T00:43:34Z,6
ingate,https://github.com/kubernetes-sigs/ingate,264,8,Shell,kubernetes-sigs,InGate - an Ingress & Gateway API Controller,2025-03-17T10:07:44Z,2024-12-02T20:06:39Z,3
QRExfil,https://github.com/Shell-Company/QRExfil,264,36,Shell,Shell-Company,This tool is a command line utility that allows you to convert any binary file into a QRcode movie. The data can then be reassembled visually allowing exfiltration of data in air gapped systems ,2023-03-26T17:32:14Z,2023-03-06T01:18:23Z,0
big-bear-scripts,https://github.com/bigbeartechworld/big-bear-scripts,263,73,Shell,bigbeartechworld,These are scripts that are created for the BigBearYouTube Channel,2025-03-11T21:51:53Z,2023-08-15T02:59:45Z,0
compose-bom,https://github.com/chrisbanes/compose-bom,262,6,Shell,chrisbanes,Compose BOM (bill of materials) - alpha edition,2024-09-24T14:00:37Z,2023-01-12T12:07:11Z,1
Passwall,https://github.com/amirhosseinchoghaei/Passwall,261,69,Shell,amirhosseinchoghaei,How to install Passwall in openwrt,2024-12-29T14:54:48Z,2023-08-04T09:59:49Z,5
Magisk-Tailscaled,https://github.com/anasfanani/Magisk-Tailscaled,260,26,Shell,anasfanani,"Magisk/KernelSU module for running Tailscale on rooted Android devices. The easiest, most secure way to use WireGuard and 2FA.",2024-06-11T00:52:24Z,2023-12-13T20:02:49Z,10
piko-builds,https://github.com/crimera/piko-builds,259,6,Shell,crimera,,2024-08-15T04:20:48Z,2024-03-29T01:48:50Z,5
mechabar,https://github.com/sejjy/mechabar,259,15,Shell,sejjy,A mecha-themed Waybar configuration 🤖,2025-03-20T17:05:00Z,2024-08-20T05:52:04Z,1
CatOS,https://github.com/CatOS-Home/CatOS,258,16,Shell,CatOS-Home,"CatOS is an open-source,Arch-based,out-of-the-box Linux distribution designed to provide an excellent operating system user experience.",2025-03-15T05:28:37Z,2023-11-16T12:39:38Z,13
turboarch,https://github.com/evgvs/turboarch,257,15,Shell,evgvs,TurboArch - Seamlessly Replace Your Current OS with Arch Linux NOW!,2024-05-07T15:04:29Z,2024-02-09T18:34:10Z,2
EvilPortalGenerator,https://github.com/FlippieHacks/EvilPortalGenerator,256,16,Shell,FlippieHacks,An easy script/app to create Evil Portals quickly to be used on the Flipper Zero.,2023-11-08T11:13:07Z,2023-08-07T02:30:26Z,2
Proxmox,https://github.com/BassT23/Proxmox,255,15,Shell,BassT23,Update your Proxmox VE,2025-03-16T15:45:44Z,2023-01-22T11:15:58Z,5
sing-REALITY-Box,https://github.com/deathline94/sing-REALITY-Box,254,365,Shell,deathline94,One click REALITY installer on sing-box core,2024-06-05T11:31:26Z,2023-05-18T03:26:14Z,2
enshrouded-server,https://github.com/jsknnr/enshrouded-server,254,46,Shell,jsknnr,Run Enshrouded dedicated server in a container,2025-03-08T16:06:01Z,2024-01-17T14:12:59Z,5
superbird-debian-kiosk,https://github.com/bishopdynamics/superbird-debian-kiosk,252,21,Shell,bishopdynamics,# Debian Chromium Kiosk on Spotify Car Thing (superbird),2024-01-03T08:46:35Z,2023-12-20T01:52:32Z,2
